order,dataset_index,expected,predicted,correct,logit0,logit1,logit2,logit3,logit4,logit5,logit6,logit7,logit8,logit9
0,0,7,7,1,-2,-1,-1,0,0,-1,-5,4,-1,0
1,1,2,2,1,0,1,6,-2,-3,-4,0,0,-2,-5
2,2,1,1,1,-2,3,-1,-3,-1,0,-1,0,0,-2
3,3,0,0,1,5,-3,-1,-1,-2,0,2,-2,-1,-1
4,4,4,4,1,-2,-1,-2,-2,3,-2,-3,0,-2,2
5,5,1,1,1,-2,4,-2,-3,-1,-1,-2,1,-2,-1
6,6,4,4,1,-4,0,-1,-2,3,0,-3,0,0,0
7,7,9,9,1,-2,-1,-1,0,0,-1,-4,-1,-1,3
8,8,5,5,1,-1,-1,-2,-1,-1,4,1,-2,1,0
9,9,9,9,1,-2,-2,-3,-2,1,-2,-5,0,-1,4
10,10,0,0,1,5,-2,0,-1,-2,-1,0,-1,-2,0
11,11,6,6,1,0,-2,-3,-2,-1,2,5,-3,1,-3
12,15,5,5,1,-2,0,-2,1,-2,5,-1,-1,-1,0
13,17,7,7,1,-2,0,1,0,-1,-1,-5,4,-1,-1
14,18,3,3,1,-2,-1,-1,2,-2,1,-1,-2,2,-1
15,21,6,6,1,-1,-2,-3,-2,-1,3,4,-3,1,-2
16,30,3,3,1,-4,0,-2,6,-4,1,-4,0,0,-1
17,35,2,2,1,-1,1,6,0,-3,-4,-2,0,-1,-4
18,61,8,8,1,-1,-2,0,1,-3,0,-2,-2,4,0
19,84,8,8,1,-2,-2,-2,-1,-1,0,1,-3,5,-1
SUMMARY,,,20,1
