config_id,search_scope,precision,total_bits,pe_variant,mac_parallelism,output_channel_parallelism,pipeline_mode,target_clock_ns,part,source_file,accuracy_input_source,planned_status
fp32_d0_no_pipeline_10ns,primary,FP32,32,D0,1,1,off,10.0,xc7z020clg400-1,src/lenet_conv_D0.cpp,B baseline_summary.txt,READY
fp32_d1_pipeline_10ns,primary,FP32,32,D1,1,1,OUTPUT_COL II=1,10.0,xc7z020clg400-1,src/lenet_conv_D1.cpp,B baseline_summary.txt,READY
fp32_d2_pe5_pipeline_10ns,primary,FP32,32,D2,5,1,OUTPUT_COL II=1 and MAC PE=5,10.0,xc7z020clg400-1,src/lenet_conv_D2.cpp,B baseline_summary.txt,READY
fp32_d3_pe5_oc2_pipeline_10ns,negative_control,FP32,32,D3,5,2,OUTPUT_COL II=1 and MAC PE=5 and OC PE=2,10.0,xc7z020clg400-1,src/lenet_conv_D3.cpp,B baseline_summary.txt,READY
int8_d0_no_pipeline_10ns,primary,INT8,8,D0,1,1,off,10.0,xc7z020clg400-1,,F quantization result,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY
int8_d1_pipeline_10ns,primary,INT8,8,D1,1,1,OUTPUT_COL II=1,10.0,xc7z020clg400-1,,F quantization result,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY
int8_d2_pe5_pipeline_10ns,primary,INT8,8,D2,5,1,OUTPUT_COL II=1 and MAC PE=5,10.0,xc7z020clg400-1,,F quantization result,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY
int6_d0_no_pipeline_10ns,primary,INT6,6,D0,1,1,off,10.0,xc7z020clg400-1,,F quantization result,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY
int6_d1_pipeline_10ns,primary,INT6,6,D1,1,1,OUTPUT_COL II=1,10.0,xc7z020clg400-1,,F quantization result,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY
int6_d2_pe5_pipeline_10ns,primary,INT6,6,D2,5,1,OUTPUT_COL II=1 and MAC PE=5,10.0,xc7z020clg400-1,,F quantization result,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY
int4_d0_no_pipeline_10ns,primary,INT4,4,D0,1,1,off,10.0,xc7z020clg400-1,,F quantization result,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY
int4_d1_pipeline_10ns,primary,INT4,4,D1,1,1,OUTPUT_COL II=1,10.0,xc7z020clg400-1,,F quantization result,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY
int4_d2_pe5_pipeline_10ns,primary,INT4,4,D2,5,1,OUTPUT_COL II=1 and MAC PE=5,10.0,xc7z020clg400-1,,F quantization result,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY
