config_id,search_scope,precision,total_bits,pe_variant,mac_parallelism,output_channel_parallelism,pipeline_mode,target_clock_ns,part,execution_status,csim,accuracy_percent,accuracy_status,max_abs_error,estimated_clock_ns,latency_cycles,latency_ms_at_target,interval_cycles,reported_pipeline_ii,lut,ff,bram_18k,dsp,resource_pressure_percent,pareto_status,balanced_score,selection_role,source_file,source_report
fp32_d0_no_pipeline_10ns,primary,FP32,32,D0,1,1,off,10.0,xc7z020clg400-1,VALIDATED,PASS,99.30,B_FP32_SOFTWARE_BASELINE_REFERENCE_AND_CSIM_NUMERICAL_PASS,0.0027756691,8.280,1240076,12.400760,1240077,,8372,5249,0,5,5.7357,PARETO,0.500000,LOWEST_RESOURCE,src/lenet_conv_D0.cpp,work\fp32_d0_no_pipeline_10ns\solution1\syn\report\lenet_conv2_top_csynth.xml
fp32_d1_pipeline_10ns,primary,FP32,32,D1,1,1,OUTPUT_COL II=1,10.0,xc7z020clg400-1,VALIDATED,PASS,99.30,B_FP32_SOFTWARE_BASELINE_REFERENCE_AND_CSIM_NUMERICAL_PASS,0.0027756691,10.200,254749,2.547490,254750,,16190,27134,0,5,14.5517,DOMINATED,0.505842,,src/lenet_conv_D1.cpp,work\fp32_d1_pipeline_10ns\solution1\syn\report\lenet_conv2_top_csynth.xml
fp32_d2_pe5_pipeline_10ns,primary,FP32,32,D2,5,1,OUTPUT_COL II=1 and MAC PE=5,10.0,xc7z020clg400-1,VALIDATED,PASS,99.30,B_FP32_SOFTWARE_BASELINE_REFERENCE_AND_CSIM_NUMERICAL_PASS,0.0027756691,10.200,243101,2.431010,243102,,13444,16887,0,7,11.0809,PARETO,0.303153,RECOMMENDED_BALANCED,src/lenet_conv_D2.cpp,work\fp32_d2_pe5_pipeline_10ns\solution1\syn\report\lenet_conv2_top_csynth.xml
fp32_d3_pe5_oc2_pipeline_10ns,negative_control,FP32,32,D3,5,2,OUTPUT_COL II=1 and MAC PE=5 and OC PE=2,10.0,xc7z020clg400-1,VALIDATED,PASS,99.30,B_FP32_SOFTWARE_BASELINE_REFERENCE_AND_CSIM_NUMERICAL_PASS,0.0027756691,10.203,283203,2.832030,283204,,15476,12511,0,7,11.0076,PARETO,0.319108,,src/lenet_conv_D3.cpp,work\fp32_d3_pe5_oc2_pipeline_10ns\solution1\syn\report\lenet_conv2_top_csynth.xml
int8_d0_no_pipeline_10ns,primary,INT8,8,D0,1,1,off,10.0,xc7z020clg400-1,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY,,,MISSING_F_RESULT,,,,,,,,,,,,NOT_EVALUATED,,,,
int8_d1_pipeline_10ns,primary,INT8,8,D1,1,1,OUTPUT_COL II=1,10.0,xc7z020clg400-1,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY,,,MISSING_F_RESULT,,,,,,,,,,,,NOT_EVALUATED,,,,
int8_d2_pe5_pipeline_10ns,primary,INT8,8,D2,5,1,OUTPUT_COL II=1 and MAC PE=5,10.0,xc7z020clg400-1,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY,,,MISSING_F_RESULT,,,,,,,,,,,,NOT_EVALUATED,,,,
int6_d0_no_pipeline_10ns,primary,INT6,6,D0,1,1,off,10.0,xc7z020clg400-1,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY,,,MISSING_F_RESULT,,,,,,,,,,,,NOT_EVALUATED,,,,
int6_d1_pipeline_10ns,primary,INT6,6,D1,1,1,OUTPUT_COL II=1,10.0,xc7z020clg400-1,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY,,,MISSING_F_RESULT,,,,,,,,,,,,NOT_EVALUATED,,,,
int6_d2_pe5_pipeline_10ns,primary,INT6,6,D2,5,1,OUTPUT_COL II=1 and MAC PE=5,10.0,xc7z020clg400-1,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY,,,MISSING_F_RESULT,,,,,,,,,,,,NOT_EVALUATED,,,,
int4_d0_no_pipeline_10ns,primary,INT4,4,D0,1,1,off,10.0,xc7z020clg400-1,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY,,,MISSING_F_RESULT,,,,,,,,,,,,NOT_EVALUATED,,,,
int4_d1_pipeline_10ns,primary,INT4,4,D1,1,1,OUTPUT_COL II=1,10.0,xc7z020clg400-1,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY,,,MISSING_F_RESULT,,,,,,,,,,,,NOT_EVALUATED,,,,
int4_d2_pe5_pipeline_10ns,primary,INT4,4,D2,5,1,OUTPUT_COL II=1 and MAC PE=5,10.0,xc7z020clg400-1,BLOCKED_MISSING_F_QUANTIZED_SOURCE_SCALE_ACCURACY,,,MISSING_F_RESULT,,,,,,,,,,,,NOT_EVALUATED,,,,
