sample_id,page_file,source_sha256,row,col,true_label,label_source,status,flags,human_reviewed,page_warning,cell_box_rectified,ink_box_in_cell,cell_file,processed_28x28,input_32x32,roi,normalized
0_0_01_0a5cfa52_r01c01,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,1,1,0,filename,extracted,,False,paper_near_image_edge,"[0, 0, 306, 424]","[97, 120, 197, 266]",cells/0_0_01_0a5cfa52_r01c01.png,processed_28x28/0/0_0_01_0a5cfa52_r01c01.png,input_32x32/0/0_0_01_0a5cfa52_r01c01.png,roi/0/0_0_01_0a5cfa52_r01c01.png,normalized_32x32/0/0_0_01_0a5cfa52_r01c01.npy
0_0_01_0a5cfa52_r01c02,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,1,2,0,filename,extracted,,False,paper_near_image_edge,"[306, 0, 613, 424]","[101, 136, 192, 260]",cells/0_0_01_0a5cfa52_r01c02.png,processed_28x28/0/0_0_01_0a5cfa52_r01c02.png,input_32x32/0/0_0_01_0a5cfa52_r01c02.png,roi/0/0_0_01_0a5cfa52_r01c02.png,normalized_32x32/0/0_0_01_0a5cfa52_r01c02.npy
0_0_01_0a5cfa52_r01c03,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,1,3,0,filename,extracted,,False,paper_near_image_edge,"[613, 0, 920, 424]","[127, 162, 199, 261]",cells/0_0_01_0a5cfa52_r01c03.png,processed_28x28/0/0_0_01_0a5cfa52_r01c03.png,input_32x32/0/0_0_01_0a5cfa52_r01c03.png,roi/0/0_0_01_0a5cfa52_r01c03.png,normalized_32x32/0/0_0_01_0a5cfa52_r01c03.npy
0_0_01_0a5cfa52_r01c04,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,1,4,0,filename,extracted,,False,paper_near_image_edge,"[920, 0, 1226, 424]","[113, 155, 197, 293]",cells/0_0_01_0a5cfa52_r01c04.png,processed_28x28/0/0_0_01_0a5cfa52_r01c04.png,input_32x32/0/0_0_01_0a5cfa52_r01c04.png,roi/0/0_0_01_0a5cfa52_r01c04.png,normalized_32x32/0/0_0_01_0a5cfa52_r01c04.npy
0_0_01_0a5cfa52_r02c01,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,2,1,0,filename,extracted,,False,paper_near_image_edge,"[0, 424, 306, 848]","[94, 126, 168, 279]",cells/0_0_01_0a5cfa52_r02c01.png,processed_28x28/0/0_0_01_0a5cfa52_r02c01.png,input_32x32/0/0_0_01_0a5cfa52_r02c01.png,roi/0/0_0_01_0a5cfa52_r02c01.png,normalized_32x32/0/0_0_01_0a5cfa52_r02c01.npy
0_0_01_0a5cfa52_r02c02,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,2,2,0,filename,extracted,,False,paper_near_image_edge,"[306, 424, 613, 848]","[119, 175, 168, 241]",cells/0_0_01_0a5cfa52_r02c02.png,processed_28x28/0/0_0_01_0a5cfa52_r02c02.png,input_32x32/0/0_0_01_0a5cfa52_r02c02.png,roi/0/0_0_01_0a5cfa52_r02c02.png,normalized_32x32/0/0_0_01_0a5cfa52_r02c02.npy
0_0_01_0a5cfa52_r02c03,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,2,3,0,filename,extracted,,False,paper_near_image_edge,"[613, 424, 920, 848]","[124, 156, 199, 252]",cells/0_0_01_0a5cfa52_r02c03.png,processed_28x28/0/0_0_01_0a5cfa52_r02c03.png,input_32x32/0/0_0_01_0a5cfa52_r02c03.png,roi/0/0_0_01_0a5cfa52_r02c03.png,normalized_32x32/0/0_0_01_0a5cfa52_r02c03.npy
0_0_01_0a5cfa52_r02c04,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,2,4,0,filename,extracted,,False,paper_near_image_edge,"[920, 424, 1226, 848]","[110, 144, 181, 266]",cells/0_0_01_0a5cfa52_r02c04.png,processed_28x28/0/0_0_01_0a5cfa52_r02c04.png,input_32x32/0/0_0_01_0a5cfa52_r02c04.png,roi/0/0_0_01_0a5cfa52_r02c04.png,normalized_32x32/0/0_0_01_0a5cfa52_r02c04.npy
0_0_01_0a5cfa52_r03c01,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,3,1,0,filename,extracted,,False,paper_near_image_edge,"[0, 848, 306, 1273]","[89, 149, 183, 280]",cells/0_0_01_0a5cfa52_r03c01.png,processed_28x28/0/0_0_01_0a5cfa52_r03c01.png,input_32x32/0/0_0_01_0a5cfa52_r03c01.png,roi/0/0_0_01_0a5cfa52_r03c01.png,normalized_32x32/0/0_0_01_0a5cfa52_r03c01.npy
0_0_01_0a5cfa52_r03c02,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,3,2,0,filename,extracted,,False,paper_near_image_edge,"[306, 848, 613, 1273]","[126, 172, 201, 287]",cells/0_0_01_0a5cfa52_r03c02.png,processed_28x28/0/0_0_01_0a5cfa52_r03c02.png,input_32x32/0/0_0_01_0a5cfa52_r03c02.png,roi/0/0_0_01_0a5cfa52_r03c02.png,normalized_32x32/0/0_0_01_0a5cfa52_r03c02.npy
0_0_01_0a5cfa52_r03c03,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,3,3,0,filename,extracted,,False,paper_near_image_edge,"[613, 848, 920, 1273]","[94, 170, 157, 290]",cells/0_0_01_0a5cfa52_r03c03.png,processed_28x28/0/0_0_01_0a5cfa52_r03c03.png,input_32x32/0/0_0_01_0a5cfa52_r03c03.png,roi/0/0_0_01_0a5cfa52_r03c03.png,normalized_32x32/0/0_0_01_0a5cfa52_r03c03.npy
0_0_01_0a5cfa52_r03c04,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,3,4,0,filename,extracted,,False,paper_near_image_edge,"[920, 848, 1226, 1273]","[127, 192, 198, 286]",cells/0_0_01_0a5cfa52_r03c04.png,processed_28x28/0/0_0_01_0a5cfa52_r03c04.png,input_32x32/0/0_0_01_0a5cfa52_r03c04.png,roi/0/0_0_01_0a5cfa52_r03c04.png,normalized_32x32/0/0_0_01_0a5cfa52_r03c04.npy
0_0_01_0a5cfa52_r04c01,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,4,1,0,filename,extracted,,False,paper_near_image_edge,"[0, 1273, 306, 1697]","[96, 129, 157, 271]",cells/0_0_01_0a5cfa52_r04c01.png,processed_28x28/0/0_0_01_0a5cfa52_r04c01.png,input_32x32/0/0_0_01_0a5cfa52_r04c01.png,roi/0/0_0_01_0a5cfa52_r04c01.png,normalized_32x32/0/0_0_01_0a5cfa52_r04c01.npy
0_0_01_0a5cfa52_r04c02,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,4,2,0,filename,extracted,,False,paper_near_image_edge,"[306, 1273, 613, 1697]","[109, 141, 185, 263]",cells/0_0_01_0a5cfa52_r04c02.png,processed_28x28/0/0_0_01_0a5cfa52_r04c02.png,input_32x32/0/0_0_01_0a5cfa52_r04c02.png,roi/0/0_0_01_0a5cfa52_r04c02.png,normalized_32x32/0/0_0_01_0a5cfa52_r04c02.npy
0_0_01_0a5cfa52_r04c03,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,4,3,0,filename,extracted,,False,paper_near_image_edge,"[613, 1273, 920, 1697]","[48, 137, 160, 236]",cells/0_0_01_0a5cfa52_r04c03.png,processed_28x28/0/0_0_01_0a5cfa52_r04c03.png,input_32x32/0/0_0_01_0a5cfa52_r04c03.png,roi/0/0_0_01_0a5cfa52_r04c03.png,normalized_32x32/0/0_0_01_0a5cfa52_r04c03.npy
0_0_01_0a5cfa52_r04c04,pages/0_01_0a5cfa52.jpg,0a5cfa52cfbe6ff6fadbc36cebe8415cf26a891a11b82771dee9ecf72f172f72,4,4,0,filename,extracted,,False,paper_near_image_edge,"[920, 1273, 1226, 1697]","[81, 140, 150, 294]",cells/0_0_01_0a5cfa52_r04c04.png,processed_28x28/0/0_0_01_0a5cfa52_r04c04.png,input_32x32/0/0_0_01_0a5cfa52_r04c04.png,roi/0/0_0_01_0a5cfa52_r04c04.png,normalized_32x32/0/0_0_01_0a5cfa52_r04c04.npy
0_0_02_0ab8b1e5_r01c01,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,1,1,0,filename,extracted,,False,paper_near_image_edge,"[0, 0, 301, 420]","[125, 176, 187, 281]",cells/0_0_02_0ab8b1e5_r01c01.png,processed_28x28/0/0_0_02_0ab8b1e5_r01c01.png,input_32x32/0/0_0_02_0ab8b1e5_r01c01.png,roi/0/0_0_02_0ab8b1e5_r01c01.png,normalized_32x32/0/0_0_02_0ab8b1e5_r01c01.npy
0_0_02_0ab8b1e5_r01c02,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,1,2,0,filename,needs_review,extra_ink_ignored,False,paper_near_image_edge,"[301, 0, 602, 420]","[119, 184, 188, 274]",cells/0_0_02_0ab8b1e5_r01c02.png,processed_28x28/0/0_0_02_0ab8b1e5_r01c02.png,input_32x32/0/0_0_02_0ab8b1e5_r01c02.png,roi/0/0_0_02_0ab8b1e5_r01c02.png,normalized_32x32/0/0_0_02_0ab8b1e5_r01c02.npy
0_0_02_0ab8b1e5_r01c03,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,1,3,0,filename,extracted,,False,paper_near_image_edge,"[602, 0, 902, 420]","[116, 186, 173, 263]",cells/0_0_02_0ab8b1e5_r01c03.png,processed_28x28/0/0_0_02_0ab8b1e5_r01c03.png,input_32x32/0/0_0_02_0ab8b1e5_r01c03.png,roi/0/0_0_02_0ab8b1e5_r01c03.png,normalized_32x32/0/0_0_02_0ab8b1e5_r01c03.npy
0_0_02_0ab8b1e5_r01c04,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,1,4,0,filename,extracted,,False,paper_near_image_edge,"[902, 0, 1203, 420]","[116, 172, 181, 251]",cells/0_0_02_0ab8b1e5_r01c04.png,processed_28x28/0/0_0_02_0ab8b1e5_r01c04.png,input_32x32/0/0_0_02_0ab8b1e5_r01c04.png,roi/0/0_0_02_0ab8b1e5_r01c04.png,normalized_32x32/0/0_0_02_0ab8b1e5_r01c04.npy
0_0_02_0ab8b1e5_r02c01,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,2,1,0,filename,extracted,,False,paper_near_image_edge,"[0, 420, 301, 840]","[115, 138, 182, 241]",cells/0_0_02_0ab8b1e5_r02c01.png,processed_28x28/0/0_0_02_0ab8b1e5_r02c01.png,input_32x32/0/0_0_02_0ab8b1e5_r02c01.png,roi/0/0_0_02_0ab8b1e5_r02c01.png,normalized_32x32/0/0_0_02_0ab8b1e5_r02c01.npy
0_0_02_0ab8b1e5_r02c02,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,2,2,0,filename,extracted,,False,paper_near_image_edge,"[301, 420, 602, 840]","[122, 135, 180, 227]",cells/0_0_02_0ab8b1e5_r02c02.png,processed_28x28/0/0_0_02_0ab8b1e5_r02c02.png,input_32x32/0/0_0_02_0ab8b1e5_r02c02.png,roi/0/0_0_02_0ab8b1e5_r02c02.png,normalized_32x32/0/0_0_02_0ab8b1e5_r02c02.npy
0_0_02_0ab8b1e5_r02c03,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,2,3,0,filename,extracted,,False,paper_near_image_edge,"[602, 420, 902, 840]","[121, 106, 200, 218]",cells/0_0_02_0ab8b1e5_r02c03.png,processed_28x28/0/0_0_02_0ab8b1e5_r02c03.png,input_32x32/0/0_0_02_0ab8b1e5_r02c03.png,roi/0/0_0_02_0ab8b1e5_r02c03.png,normalized_32x32/0/0_0_02_0ab8b1e5_r02c03.npy
0_0_02_0ab8b1e5_r02c04,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,2,4,0,filename,extracted,,False,paper_near_image_edge,"[902, 420, 1203, 840]","[123, 82, 215, 212]",cells/0_0_02_0ab8b1e5_r02c04.png,processed_28x28/0/0_0_02_0ab8b1e5_r02c04.png,input_32x32/0/0_0_02_0ab8b1e5_r02c04.png,roi/0/0_0_02_0ab8b1e5_r02c04.png,normalized_32x32/0/0_0_02_0ab8b1e5_r02c04.npy
0_0_02_0ab8b1e5_r03c01,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,3,1,0,filename,extracted,,False,paper_near_image_edge,"[0, 840, 301, 1261]","[100, 132, 200, 259]",cells/0_0_02_0ab8b1e5_r03c01.png,processed_28x28/0/0_0_02_0ab8b1e5_r03c01.png,input_32x32/0/0_0_02_0ab8b1e5_r03c01.png,roi/0/0_0_02_0ab8b1e5_r03c01.png,normalized_32x32/0/0_0_02_0ab8b1e5_r03c01.npy
0_0_02_0ab8b1e5_r03c02,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,3,2,0,filename,extracted,,False,paper_near_image_edge,"[301, 840, 602, 1261]","[109, 115, 185, 225]",cells/0_0_02_0ab8b1e5_r03c02.png,processed_28x28/0/0_0_02_0ab8b1e5_r03c02.png,input_32x32/0/0_0_02_0ab8b1e5_r03c02.png,roi/0/0_0_02_0ab8b1e5_r03c02.png,normalized_32x32/0/0_0_02_0ab8b1e5_r03c02.npy
0_0_02_0ab8b1e5_r03c03,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,3,3,0,filename,extracted,,False,paper_near_image_edge,"[602, 840, 902, 1261]","[107, 97, 170, 211]",cells/0_0_02_0ab8b1e5_r03c03.png,processed_28x28/0/0_0_02_0ab8b1e5_r03c03.png,input_32x32/0/0_0_02_0ab8b1e5_r03c03.png,roi/0/0_0_02_0ab8b1e5_r03c03.png,normalized_32x32/0/0_0_02_0ab8b1e5_r03c03.npy
0_0_02_0ab8b1e5_r03c04,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,3,4,0,filename,extracted,,False,paper_near_image_edge,"[902, 840, 1203, 1261]","[89, 76, 186, 237]",cells/0_0_02_0ab8b1e5_r03c04.png,processed_28x28/0/0_0_02_0ab8b1e5_r03c04.png,input_32x32/0/0_0_02_0ab8b1e5_r03c04.png,roi/0/0_0_02_0ab8b1e5_r03c04.png,normalized_32x32/0/0_0_02_0ab8b1e5_r03c04.npy
0_0_02_0ab8b1e5_r04c01,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,4,1,0,filename,extracted,,False,paper_near_image_edge,"[0, 1261, 301, 1681]","[97, 135, 166, 250]",cells/0_0_02_0ab8b1e5_r04c01.png,processed_28x28/0/0_0_02_0ab8b1e5_r04c01.png,input_32x32/0/0_0_02_0ab8b1e5_r04c01.png,roi/0/0_0_02_0ab8b1e5_r04c01.png,normalized_32x32/0/0_0_02_0ab8b1e5_r04c01.npy
0_0_02_0ab8b1e5_r04c02,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,4,2,0,filename,extracted,,False,paper_near_image_edge,"[301, 1261, 602, 1681]","[86, 133, 156, 243]",cells/0_0_02_0ab8b1e5_r04c02.png,processed_28x28/0/0_0_02_0ab8b1e5_r04c02.png,input_32x32/0/0_0_02_0ab8b1e5_r04c02.png,roi/0/0_0_02_0ab8b1e5_r04c02.png,normalized_32x32/0/0_0_02_0ab8b1e5_r04c02.npy
0_0_02_0ab8b1e5_r04c03,pages/0_02_0ab8b1e5.jpg,0ab8b1e50dee60089665283a35931860f04cac3919cc77ad5c1eed1242ab568d,4,3,0,filename,extracted,,False,paper_near_image_edge,"[602, 1261, 902, 1681]","[67, 127, 132, 238]",cells/0_0_02_0ab8b1e5_r04c03.png,processed_28x28/0/0_0_02_0ab8b1e5_r04c03.png,input_32x32/0/0_0_02_0ab8b1e5_r04c03.png,roi/0/0_0_02_0ab8b1e5_r04c03.png,normalized_32x32/0/0_0_02_0ab8b1e5_r04c03.npy
