sample_id,page_file,source_sha256,row,col,true_label,label_source,status,flags,human_reviewed,page_warning,cell_box_rectified,ink_box_in_cell,cell_file,processed_28x28,input_32x32,roi,normalized
0_example_621d755b_r01c01,pages/example_621d755b.jpg,621d755bcf623dd4a34e102b6d5a0b76338180f9715e7fa9a666da6adcce246e,1,1,0,supplied_position,extracted,,False,paper_near_image_edge,"[0, 0, 266, 380]","[92, 119, 184, 228]",cells/0_example_621d755b_r01c01.png,processed_28x28/0/0_example_621d755b_r01c01.png,input_32x32/0/0_example_621d755b_r01c01.png,roi/0/0_example_621d755b_r01c01.png,normalized_32x32/0/0_example_621d755b_r01c01.npy
1_example_621d755b_r01c02,pages/example_621d755b.jpg,621d755bcf623dd4a34e102b6d5a0b76338180f9715e7fa9a666da6adcce246e,1,2,1,supplied_position,extracted,,False,paper_near_image_edge,"[266, 0, 532, 380]","[99, 110, 144, 213]",cells/1_example_621d755b_r01c02.png,processed_28x28/1/1_example_621d755b_r01c02.png,input_32x32/1/1_example_621d755b_r01c02.png,roi/1/1_example_621d755b_r01c02.png,normalized_32x32/1/1_example_621d755b_r01c02.npy
2_example_621d755b_r01c03,pages/example_621d755b.jpg,621d755bcf623dd4a34e102b6d5a0b76338180f9715e7fa9a666da6adcce246e,1,3,2,supplied_position,extracted,,False,paper_near_image_edge,"[532, 0, 799, 380]","[93, 116, 177, 204]",cells/2_example_621d755b_r01c03.png,processed_28x28/2/2_example_621d755b_r01c03.png,input_32x32/2/2_example_621d755b_r01c03.png,roi/2/2_example_621d755b_r01c03.png,normalized_32x32/2/2_example_621d755b_r01c03.npy
3_example_621d755b_r01c04,pages/example_621d755b.jpg,621d755bcf623dd4a34e102b6d5a0b76338180f9715e7fa9a666da6adcce246e,1,4,3,supplied_position,extracted,,False,paper_near_image_edge,"[799, 0, 1065, 380]","[88, 104, 161, 204]",cells/3_example_621d755b_r01c04.png,processed_28x28/3/3_example_621d755b_r01c04.png,input_32x32/3/3_example_621d755b_r01c04.png,roi/3/3_example_621d755b_r01c04.png,normalized_32x32/3/3_example_621d755b_r01c04.npy
4_example_621d755b_r02c01,pages/example_621d755b.jpg,621d755bcf623dd4a34e102b6d5a0b76338180f9715e7fa9a666da6adcce246e,2,1,4,supplied_position,extracted,,False,paper_near_image_edge,"[0, 380, 266, 760]","[71, 133, 152, 229]",cells/4_example_621d755b_r02c01.png,processed_28x28/4/4_example_621d755b_r02c01.png,input_32x32/4/4_example_621d755b_r02c01.png,roi/4/4_example_621d755b_r02c01.png,normalized_32x32/4/4_example_621d755b_r02c01.npy
5_example_621d755b_r02c02,pages/example_621d755b.jpg,621d755bcf623dd4a34e102b6d5a0b76338180f9715e7fa9a666da6adcce246e,2,2,5,supplied_position,extracted,,False,paper_near_image_edge,"[266, 380, 532, 760]","[86, 127, 160, 217]",cells/5_example_621d755b_r02c02.png,processed_28x28/5/5_example_621d755b_r02c02.png,input_32x32/5/5_example_621d755b_r02c02.png,roi/5/5_example_621d755b_r02c02.png,normalized_32x32/5/5_example_621d755b_r02c02.npy
6_example_621d755b_r02c03,pages/example_621d755b.jpg,621d755bcf623dd4a34e102b6d5a0b76338180f9715e7fa9a666da6adcce246e,2,3,6,supplied_position,extracted,,False,paper_near_image_edge,"[532, 380, 799, 760]","[99, 122, 147, 220]",cells/6_example_621d755b_r02c03.png,processed_28x28/6/6_example_621d755b_r02c03.png,input_32x32/6/6_example_621d755b_r02c03.png,roi/6/6_example_621d755b_r02c03.png,normalized_32x32/6/6_example_621d755b_r02c03.npy
7_example_621d755b_r02c04,pages/example_621d755b.jpg,621d755bcf623dd4a34e102b6d5a0b76338180f9715e7fa9a666da6adcce246e,2,4,7,supplied_position,extracted,,False,paper_near_image_edge,"[799, 380, 1065, 760]","[87, 120, 156, 235]",cells/7_example_621d755b_r02c04.png,processed_28x28/7/7_example_621d755b_r02c04.png,input_32x32/7/7_example_621d755b_r02c04.png,roi/7/7_example_621d755b_r02c04.png,normalized_32x32/7/7_example_621d755b_r02c04.npy
8_example_621d755b_r03c01,pages/example_621d755b.jpg,621d755bcf623dd4a34e102b6d5a0b76338180f9715e7fa9a666da6adcce246e,3,1,8,supplied_position,extracted,,False,paper_near_image_edge,"[0, 760, 266, 1140]","[83, 106, 144, 212]",cells/8_example_621d755b_r03c01.png,processed_28x28/8/8_example_621d755b_r03c01.png,input_32x32/8/8_example_621d755b_r03c01.png,roi/8/8_example_621d755b_r03c01.png,normalized_32x32/8/8_example_621d755b_r03c01.npy
9_example_621d755b_r03c02,pages/example_621d755b.jpg,621d755bcf623dd4a34e102b6d5a0b76338180f9715e7fa9a666da6adcce246e,3,2,9,supplied_position,extracted,,False,paper_near_image_edge,"[266, 760, 532, 1140]","[104, 104, 143, 217]",cells/9_example_621d755b_r03c02.png,processed_28x28/9/9_example_621d755b_r03c02.png,input_32x32/9/9_example_621d755b_r03c02.png,roi/9/9_example_621d755b_r03c02.png,normalized_32x32/9/9_example_621d755b_r03c02.npy
