sample_id,source_sample_id,true_label,condition,parameter,source_file,raw_page,processed_28x28,input_32x32,normalized_32x32
0_0_01_0a5cfa52_r01c01__rotation_angle_m15,0_0_01_0a5cfa52_r01c01,0,rotation,-15deg,./data/preprocessed/dataset/processed_28x28/0/0_0_01_0a5cfa52_r01c01.png,./data/raw/dataset/0_01.jpg,rotation/angle_m15/processed_28x28/0/0_0_01_0a5cfa52_r01c01__rotation_angle_m15.png,rotation/angle_m15/input_32x32/0/0_0_01_0a5cfa52_r01c01__rotation_angle_m15.png,rotation/angle_m15/normalized_32x32/0/0_0_01_0a5cfa52_r01c01__rotation_angle_m15.npy
0_0_01_0a5cfa52_r01c02__rotation_angle_m15,0_0_01_0a5cfa52_r01c02,0,rotation,-15deg,./data/preprocessed/dataset/processed_28x28/0/0_0_01_0a5cfa52_r01c02.png,./data/raw/dataset/0_01.jpg,rotation/angle_m15/processed_28x28/0/0_0_01_0a5cfa52_r01c02__rotation_angle_m15.png,rotation/angle_m15/input_32x32/0/0_0_01_0a5cfa52_r01c02__rotation_angle_m15.png,rotation/angle_m15/normalized_32x32/0/0_0_01_0a5cfa52_r01c02__rotation_angle_m15.npy
0_0_01_0a5cfa52_r01c03__rotation_angle_m15,0_0_01_0a5cfa52_r01c03,0,rotation,-15deg,./data/preprocessed/dataset/processed_28x28/0/0_0_01_0a5cfa52_r01c03.png,./data/raw/dataset/0_01.jpg,rotation/angle_m15/processed_28x28/0/0_0_01_0a5cfa52_r01c03__rotation_angle_m15.png,rotation/angle_m15/input_32x32/0/0_0_01_0a5cfa52_r01c03__rotation_angle_m15.png,rotation/angle_m15/normalized_32x32/0/0_0_01_0a5cfa52_r01c03__rotation_angle_m15.npy
0_0_01_0a5cfa52_r01c04__rotation_angle_m15,0_0_01_0a5cfa52_r01c04,0,rotation,-15deg,./data/preprocessed/dataset/processed_28x28/0/0_0_01_0a5cfa52_r01c04.png,./data/raw/dataset/0_01.jpg,rotation/angle_m15/processed_28x28/0/0_0_01_0a5cfa52_r01c04__rotation_angle_m15.png,rotation/angle_m15/input_32x32/0/0_0_01_0a5cfa52_r01c04__rotation_angle_m15.png,rotation/angle_m15/normalized_32x32/0/0_0_01_0a5cfa52_r01c04__rotation_angle_m15.npy
0_0_01_0a5cfa52_r02c01__rotation_angle_m15,0_0_01_0a5cfa52_r02c01,0,rotation,-15deg,./data/preprocessed/dataset/processed_28x28/0/0_0_01_0a5cfa52_r02c01.png,./data/raw/dataset/0_01.jpg,rotation/angle_m15/processed_28x28/0/0_0_01_0a5cfa52_r02c01__rotation_angle_m15.png,rotation/angle_m15/input_32x32/0/0_0_01_0a5cfa52_r02c01__rotation_angle_m15.png,rotation/angle_m15/normalized_32x32/0/0_0_01_0a5cfa52_r02c01__rotation_angle_m15.npy
0_0_01_0a5cfa52_r02c02__rotation_angle_m15,0_0_01_0a5cfa52_r02c02,0,rotation,-15deg,./data/preprocessed/dataset/processed_28x28/0/0_0_01_0a5cfa52_r02c02.png,./data/raw/dataset/0_01.jpg,rotation/angle_m15/processed_28x28/0/0_0_01_0a5cfa52_r02c02__rotation_angle_m15.png,rotation/angle_m15/input_32x32/0/0_0_01_0a5cfa52_r02c02__rotation_angle_m15.png,rotation/angle_m15/normalized_32x32/0/0_0_01_0a5cfa52_r02c02__rotation_angle_m15.npy
0_0_01_0a5cfa52_r02c03__rotation_angle_m15,0_0_01_0a5cfa52_r02c03,0,rotation,-15deg,./data/preprocessed/dataset/processed_28x28/0/0_0_01_0a5cfa52_r02c03.png,./data/raw/dataset/0_01.jpg,rotation/angle_m15/processed_28x28/0/0_0_01_0a5cfa52_r02c03__rotation_angle_m15.png,rotation/angle_m15/input_32x32/0/0_0_01_0a5cfa52_r02c03__rotation_angle_m15.png,rotation/angle_m15/normalized_32x32/0/0_0_01_0a5cfa52_r02c03__rotation_angle_m15.npy
0_0_01_0a5cfa52_r02c04__rotation_angle_m15,0_0_01_0a5cfa52_r02c04,0,rotation,-15deg,./data/preprocessed/dataset/processed_28x28/0/0_0_01_0a5cfa52_r02c04.png,./data/raw/dataset/0_01.jpg,rotation/angle_m15/processed_28x28/0/0_0_01_0a5cfa52_r02c04__rotation_angle_m15.png,rotation/angle_m15/input_32x32/0/0_0_01_0a5cfa52_r02c04__rotation_angle_m15.png,rotation/angle_m15/normalized_32x32/0/0_0_01_0a5cfa52_r02c04__rotation_angle_m15.npy
0_0_01_0a5cfa52_r03c01__rotation_angle_m15,0_0_01_0a5cfa52_r03c01,0,rotation,-15deg,./data/preprocessed/dataset/processed_28x28/0/0_0_01_0a5cfa52_r03c01.png,./data/raw/dataset/0_01.jpg,rotation/angle_m15/processed_28x28/0/0_0_01_0a5cfa52_r03c01__rotation_angle_m15.png,rotation/angle_m15/input_32x32/0/0_0_01_0a5cfa52_r03c01__rotation_angle_m15.png,rotation/angle_m15/normalized_32x32/0/0_0_01_0a5cfa52_r03c01__rotation_angle_m15.npy
0_0_01_0a5cfa52_r03c02__rotation_angle_m15,0_0_01_0a5cfa52_r03c02,0,rotation,-15deg,./data/preprocessed/dataset/processed_28x28/0/0_0_01_0a5cfa52_r03c02.png,./data/raw/dataset/0_01.jpg,rotation/angle_m15/processed_28x28/0/0_0_01_0a5cfa52_r03c02__rotation_angle_m15.png,rotation/angle_m15/input_32x32/0/0_0_01_0a5cfa52_r03c02__rotation_angle_m15.png,rotation/angle_m15/normalized_32x32/0/0_0_01_0a5cfa52_r03c02__rotation_angle_m15.npy
