dataset,condition,parameter,sample_count,correct_count,accuracy,notes
self_collected,original,,320,312,0.975,per-class=0:32/32;1:32/32;2:31/32;3:29/32;4:32/32;5:32/32;6:31/32;7:32/32;8:32/32;9:29/32
self_collected,rotation,-15deg,320,297,0.928125,per-class=0:30/32;1:31/32;2:31/32;3:28/32;4:31/32;5:32/32;6:24/32;7:32/32;8:31/32;9:27/32
self_collected,rotation,-10deg,320,304,0.95,per-class=0:31/32;1:32/32;2:31/32;3:29/32;4:32/32;5:32/32;6:26/32;7:32/32;8:31/32;9:28/32
self_collected,rotation,+10deg,320,305,0.953125,per-class=0:32/32;1:32/32;2:31/32;3:29/32;4:30/32;5:32/32;6:30/32;7:32/32;8:32/32;9:25/32
self_collected,rotation,+15deg,320,304,0.95,per-class=0:32/32;1:32/32;2:30/32;3:28/32;4:30/32;5:31/32;6:32/32;7:32/32;8:32/32;9:25/32
self_collected,blur,3x3,320,310,0.96875,per-class=0:32/32;1:32/32;2:31/32;3:27/32;4:32/32;5:32/32;6:32/32;7:32/32;8:32/32;9:28/32
self_collected,blur,5x5,320,309,0.965625,per-class=0:32/32;1:32/32;2:31/32;3:27/32;4:31/32;5:32/32;6:32/32;7:32/32;8:32/32;9:28/32
self_collected,noise,sigma=10/255,320,311,0.971875,per-class=0:32/32;1:32/32;2:31/32;3:29/32;4:32/32;5:32/32;6:31/32;7:32/32;8:32/32;9:28/32
self_collected,noise,sigma=25/255,320,307,0.959375,per-class=0:32/32;1:32/32;2:31/32;3:27/32;4:32/32;5:32/32;6:31/32;7:32/32;8:30/32;9:28/32
self_collected,brightness,0.7x,320,311,0.971875,per-class=0:32/32;1:32/32;2:30/32;3:29/32;4:32/32;5:32/32;6:31/32;7:32/32;8:32/32;9:29/32
self_collected,brightness,1.3x,320,311,0.971875,per-class=0:32/32;1:32/32;2:31/32;3:29/32;4:32/32;5:32/32;6:31/32;7:32/32;8:32/32;9:28/32
