sample_id,source_sample_id,true_label,pred_label,confidence,source_file,processed_28x28,input_32x32
2_2_01_2e3151dd_r04c04__blur_kernel_5,2_2_01_2e3151dd_r04c04,2,3,0.8305455864126138,./data/preprocessed/dataset/processed_28x28/2/2_2_01_2e3151dd_r04c04.png,./data/robustness/blur/kernel_5/processed_28x28/2/2_2_01_2e3151dd_r04c04__blur_kernel_5.png,./data/robustness/blur/kernel_5/input_32x32/2/2_2_01_2e3151dd_r04c04__blur_kernel_5.png
3_3_01_3ef7df64_r04c03__blur_kernel_5,3_3_01_3ef7df64_r04c03,3,9,0.3989594174058851,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c03.png,./data/robustness/blur/kernel_5/processed_28x28/3/3_3_01_3ef7df64_r04c03__blur_kernel_5.png,./data/robustness/blur/kernel_5/input_32x32/3/3_3_01_3ef7df64_r04c03__blur_kernel_5.png
3_3_01_3ef7df64_r04c04__blur_kernel_5,3_3_01_3ef7df64_r04c04,3,1,0.7237586900444481,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c04.png,./data/robustness/blur/kernel_5/processed_28x28/3/3_3_01_3ef7df64_r04c04__blur_kernel_5.png,./data/robustness/blur/kernel_5/input_32x32/3/3_3_01_3ef7df64_r04c04__blur_kernel_5.png
3_3_02_0ace0337_r01c02__blur_kernel_5,3_3_02_0ace0337_r01c02,3,5,0.5823950710068307,./data/preprocessed/dataset/processed_28x28/3/3_3_02_0ace0337_r01c02.png,./data/robustness/blur/kernel_5/processed_28x28/3/3_3_02_0ace0337_r01c02__blur_kernel_5.png,./data/robustness/blur/kernel_5/input_32x32/3/3_3_02_0ace0337_r01c02__blur_kernel_5.png
3_3_02_0ace0337_r03c03__blur_kernel_5,3_3_02_0ace0337_r03c03,3,9,0.5587548493653544,./data/preprocessed/dataset/processed_28x28/3/3_3_02_0ace0337_r03c03.png,./data/robustness/blur/kernel_5/processed_28x28/3/3_3_02_0ace0337_r03c03__blur_kernel_5.png,./data/robustness/blur/kernel_5/input_32x32/3/3_3_02_0ace0337_r03c03__blur_kernel_5.png
3_3_02_0ace0337_r04c04__blur_kernel_5,3_3_02_0ace0337_r04c04,3,1,0.4947743940330585,./data/preprocessed/dataset/processed_28x28/3/3_3_02_0ace0337_r04c04.png,./data/robustness/blur/kernel_5/processed_28x28/3/3_3_02_0ace0337_r04c04__blur_kernel_5.png,./data/robustness/blur/kernel_5/input_32x32/3/3_3_02_0ace0337_r04c04__blur_kernel_5.png
4_4_02_b6e2cbed_r04c03__blur_kernel_5,4_4_02_b6e2cbed_r04c03,4,9,0.577178122373372,./data/preprocessed/dataset/processed_28x28/4/4_4_02_b6e2cbed_r04c03.png,./data/robustness/blur/kernel_5/processed_28x28/4/4_4_02_b6e2cbed_r04c03__blur_kernel_5.png,./data/robustness/blur/kernel_5/input_32x32/4/4_4_02_b6e2cbed_r04c03__blur_kernel_5.png
9_9_01_852a4a6b_r02c03__blur_kernel_5,9_9_01_852a4a6b_r02c03,9,8,0.8529212608214733,./data/preprocessed/dataset/processed_28x28/9/9_9_01_852a4a6b_r02c03.png,./data/robustness/blur/kernel_5/processed_28x28/9/9_9_01_852a4a6b_r02c03__blur_kernel_5.png,./data/robustness/blur/kernel_5/input_32x32/9/9_9_01_852a4a6b_r02c03__blur_kernel_5.png
9_9_02_2f49434b_r01c03__blur_kernel_5,9_9_02_2f49434b_r01c03,9,8,0.8581015684241053,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r01c03.png,./data/robustness/blur/kernel_5/processed_28x28/9/9_9_02_2f49434b_r01c03__blur_kernel_5.png,./data/robustness/blur/kernel_5/input_32x32/9/9_9_02_2f49434b_r01c03__blur_kernel_5.png
9_9_02_2f49434b_r02c04__blur_kernel_5,9_9_02_2f49434b_r02c04,9,1,0.8890713644002254,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r02c04.png,./data/robustness/blur/kernel_5/processed_28x28/9/9_9_02_2f49434b_r02c04__blur_kernel_5.png,./data/robustness/blur/kernel_5/input_32x32/9/9_9_02_2f49434b_r02c04__blur_kernel_5.png
9_9_02_2f49434b_r03c01__blur_kernel_5,9_9_02_2f49434b_r03c01,9,4,0.8334886211121001,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r03c01.png,./data/robustness/blur/kernel_5/processed_28x28/9/9_9_02_2f49434b_r03c01__blur_kernel_5.png,./data/robustness/blur/kernel_5/input_32x32/9/9_9_02_2f49434b_r03c01__blur_kernel_5.png
