sample_id,source_sample_id,true_label,pred_label,confidence,source_file,processed_28x28,input_32x32
2_2_01_2e3151dd_r04c04__noise_sigma_25,2_2_01_2e3151dd_r04c04,2,3,0.984698949099968,./data/preprocessed/dataset/processed_28x28/2/2_2_01_2e3151dd_r04c04.png,./data/robustness/noise/sigma_25/processed_28x28/2/2_2_01_2e3151dd_r04c04__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/2/2_2_01_2e3151dd_r04c04__noise_sigma_25.png
3_3_01_3ef7df64_r04c01__noise_sigma_25,3_3_01_3ef7df64_r04c01,3,7,0.5132553097815794,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c01.png,./data/robustness/noise/sigma_25/processed_28x28/3/3_3_01_3ef7df64_r04c01__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/3/3_3_01_3ef7df64_r04c01__noise_sigma_25.png
3_3_01_3ef7df64_r04c03__noise_sigma_25,3_3_01_3ef7df64_r04c03,3,9,0.49042225882111756,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c03.png,./data/robustness/noise/sigma_25/processed_28x28/3/3_3_01_3ef7df64_r04c03__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/3/3_3_01_3ef7df64_r04c03__noise_sigma_25.png
3_3_01_3ef7df64_r04c04__noise_sigma_25,3_3_01_3ef7df64_r04c04,3,1,0.7477715410629292,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c04.png,./data/robustness/noise/sigma_25/processed_28x28/3/3_3_01_3ef7df64_r04c04__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/3/3_3_01_3ef7df64_r04c04__noise_sigma_25.png
3_3_02_0ace0337_r03c03__noise_sigma_25,3_3_02_0ace0337_r03c03,3,9,0.5545889703035077,./data/preprocessed/dataset/processed_28x28/3/3_3_02_0ace0337_r03c03.png,./data/robustness/noise/sigma_25/processed_28x28/3/3_3_02_0ace0337_r03c03__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/3/3_3_02_0ace0337_r03c03__noise_sigma_25.png
3_3_02_0ace0337_r04c04__noise_sigma_25,3_3_02_0ace0337_r04c04,3,1,0.5246719136057278,./data/preprocessed/dataset/processed_28x28/3/3_3_02_0ace0337_r04c04.png,./data/robustness/noise/sigma_25/processed_28x28/3/3_3_02_0ace0337_r04c04__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/3/3_3_02_0ace0337_r04c04__noise_sigma_25.png
6_6_01_52f5f834_r01c02__noise_sigma_25,6_6_01_52f5f834_r01c02,6,8,0.49200947648783216,./data/preprocessed/dataset/processed_28x28/6/6_6_01_52f5f834_r01c02.png,./data/robustness/noise/sigma_25/processed_28x28/6/6_6_01_52f5f834_r01c02__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/6/6_6_01_52f5f834_r01c02__noise_sigma_25.png
8_8_01_e470fe0b_r01c02__noise_sigma_25,8_8_01_e470fe0b_r01c02,8,3,0.44153800162889784,./data/preprocessed/dataset/processed_28x28/8/8_8_01_e470fe0b_r01c02.png,./data/robustness/noise/sigma_25/processed_28x28/8/8_8_01_e470fe0b_r01c02__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/8/8_8_01_e470fe0b_r01c02__noise_sigma_25.png
8_8_02_b36c8633_r02c04__noise_sigma_25,8_8_02_b36c8633_r02c04,8,2,0.5557043224388032,./data/preprocessed/dataset/processed_28x28/8/8_8_02_b36c8633_r02c04.png,./data/robustness/noise/sigma_25/processed_28x28/8/8_8_02_b36c8633_r02c04__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/8/8_8_02_b36c8633_r02c04__noise_sigma_25.png
9_9_01_852a4a6b_r02c03__noise_sigma_25,9_9_01_852a4a6b_r02c03,9,8,0.3917605726131338,./data/preprocessed/dataset/processed_28x28/9/9_9_01_852a4a6b_r02c03.png,./data/robustness/noise/sigma_25/processed_28x28/9/9_9_01_852a4a6b_r02c03__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/9/9_9_01_852a4a6b_r02c03__noise_sigma_25.png
9_9_02_2f49434b_r01c03__noise_sigma_25,9_9_02_2f49434b_r01c03,9,7,0.617258821330443,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r01c03.png,./data/robustness/noise/sigma_25/processed_28x28/9/9_9_02_2f49434b_r01c03__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/9/9_9_02_2f49434b_r01c03__noise_sigma_25.png
9_9_02_2f49434b_r02c04__noise_sigma_25,9_9_02_2f49434b_r02c04,9,1,0.45873870757401025,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r02c04.png,./data/robustness/noise/sigma_25/processed_28x28/9/9_9_02_2f49434b_r02c04__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/9/9_9_02_2f49434b_r02c04__noise_sigma_25.png
9_9_02_2f49434b_r03c01__noise_sigma_25,9_9_02_2f49434b_r03c01,9,4,0.7807897979359387,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r03c01.png,./data/robustness/noise/sigma_25/processed_28x28/9/9_9_02_2f49434b_r03c01__noise_sigma_25.png,./data/robustness/noise/sigma_25/input_32x32/9/9_9_02_2f49434b_r03c01__noise_sigma_25.png
