sample_id,source_sample_id,true_label,pred_label,confidence,source_file,processed_28x28,input_32x32
0_0_01_0a5cfa52_r01c03__rotation_angle_m15,0_0_01_0a5cfa52_r01c03,0,8,0.6780528398650641,./data/preprocessed/dataset/processed_28x28/0/0_0_01_0a5cfa52_r01c03.png,./data/robustness/rotation/angle_m15/processed_28x28/0/0_0_01_0a5cfa52_r01c03__rotation_angle_m15.png,./data/robustness/rotation/angle_m15/input_32x32/0/0_0_01_0a5cfa52_r01c03__rotation_angle_m15.png
0_0_01_0a5cfa52_r02c02__rotation_angle_m15,0_0_01_0a5cfa52_r02c02,0,9,0.4938579980708881,./data/preprocessed/dataset/processed_28x28/0/0_0_01_0a5cfa52_r02c02.png,./data/robustness/rotation/angle_m15/processed_28x28/0/0_0_01_0a5cfa52_r02c02__rotation_angle_m15.png,./data/robustness/rotation/angle_m15/input_32x32/0/0_0_01_0a5cfa52_r02c02__rotation_angle_m15.png
1_1_02_4cdb4850_r02c03__rotation_angle_m15,1_1_02_4cdb4850_r02c03,1,7,0.4304845065811464,./data/preprocessed/dataset/processed_28x28/1/1_1_02_4cdb4850_r02c03.png,./data/robustness/rotation/angle_m15/processed_28x28/1/1_1_02_4cdb4850_r02c03__rotation_angle_m15.png,./data/robustness/rotation/angle_m15/input_32x32/1/1_1_02_4cdb4850_r02c03__rotation_angle_m15.png
2_2_01_2e3151dd_r04c04__rotation_angle_m15,2_2_01_2e3151dd_r04c04,2,3,0.9832201832412103,./data/preprocessed/dataset/processed_28x28/2/2_2_01_2e3151dd_r04c04.png,./data/robustness/rotation/angle_m15/processed_28x28/2/2_2_01_2e3151dd_r04c04__rotation_angle_m15.png,./data/robustness/rotation/angle_m15/input_32x32/2/2_2_01_2e3151dd_r04c04__rotation_angle_m15.png
3_3_01_3ef7df64_r04c01__rotation_angle_m15,3_3_01_3ef7df64_r04c01,3,2,0.3732091780720793,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c01.png,./data/robustness/rotation/angle_m15/processed_28x28/3/3_3_01_3ef7df64_r04c01__rotation_angle_m15.png,./data/robustness/rotation/angle_m15/input_32x32/3/3_3_01_3ef7df64_r04c01__rotation_angle_m15.png
3_3_01_3ef7df64_r04c03__rotation_angle_m15,3_3_01_3ef7df64_r04c03,3,2,0.665968536565227,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c03.png,./data/robustness/rotation/angle_m15/processed_28x28/3/3_3_01_3ef7df64_r04c03__rotation_angle_m15.png,./data/robustness/rotation/angle_m15/input_32x32/3/3_3_01_3ef7df64_r04c03__rotation_angle_m15.png
3_3_01_3ef7df64_r04c04__rotation_angle_m15,3_3_01_3ef7df64_r04c04,3,2,0.7054191534760846,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c04.png,./data/robustness/rotation/angle_m15/processed_28x28/3/3_3_01_3ef7df64_r04c04__rotation_angle_m15.png,./data/robustness/rotation/angle_m15/input_32x32/3/3_3_01_3ef7df64_r04c04__rotation_angle_m15.png
3_3_02_0ace0337_r04c04__rotation_angle_m15,3_3_02_0ace0337_r04c04,3,9,0.3695764034898748,./data/preprocessed/dataset/processed_28x28/3/3_3_02_0ace0337_r04c04.png,./data/robustness/rotation/angle_m15/processed_28x28/3/3_3_02_0ace0337_r04c04__rotation_angle_m15.png,./data/robustness/rotation/angle_m15/input_32x32/3/3_3_02_0ace0337_r04c04__rotation_angle_m15.png
4_4_02_b6e2cbed_r02c02__rotation_angle_m15,4_4_02_b6e2cbed_r02c02,4,7,0.9614612524505632,./data/preprocessed/dataset/processed_28x28/4/4_4_02_b6e2cbed_r02c02.png,./data/robustness/rotation/angle_m15/processed_28x28/4/4_4_02_b6e2cbed_r02c02__rotation_angle_m15.png,./data/robustness/rotation/angle_m15/input_32x32/4/4_4_02_b6e2cbed_r02c02__rotation_angle_m15.png
6_6_01_52f5f834_r03c03__rotation_angle_m15,6_6_01_52f5f834_r03c03,6,5,0.8434459438900617,./data/preprocessed/dataset/processed_28x28/6/6_6_01_52f5f834_r03c03.png,./data/robustness/rotation/angle_m15/processed_28x28/6/6_6_01_52f5f834_r03c03__rotation_angle_m15.png,./data/robustness/rotation/angle_m15/input_32x32/6/6_6_01_52f5f834_r03c03__rotation_angle_m15.png
