sample_id,source_sample_id,true_label,pred_label,confidence,source_file,processed_28x28,input_32x32
2_2_01_2e3151dd_r01c02__rotation_angle_p15,2_2_01_2e3151dd_r01c02,2,8,0.8748467401335109,./data/preprocessed/dataset/processed_28x28/2/2_2_01_2e3151dd_r01c02.png,./data/robustness/rotation/angle_p15/processed_28x28/2/2_2_01_2e3151dd_r01c02__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/2/2_2_01_2e3151dd_r01c02__rotation_angle_p15.png
2_2_02_cbfae05c_r01c04__rotation_angle_p15,2_2_02_cbfae05c_r01c04,2,1,0.8575138342385366,./data/preprocessed/dataset/processed_28x28/2/2_2_02_cbfae05c_r01c04.png,./data/robustness/rotation/angle_p15/processed_28x28/2/2_2_02_cbfae05c_r01c04__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/2/2_2_02_cbfae05c_r01c04__rotation_angle_p15.png
3_3_01_3ef7df64_r04c01__rotation_angle_p15,3_3_01_3ef7df64_r04c01,3,5,0.5097285112070852,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c01.png,./data/robustness/rotation/angle_p15/processed_28x28/3/3_3_01_3ef7df64_r04c01__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/3/3_3_01_3ef7df64_r04c01__rotation_angle_p15.png
3_3_01_3ef7df64_r04c03__rotation_angle_p15,3_3_01_3ef7df64_r04c03,3,7,0.7031357968919322,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c03.png,./data/robustness/rotation/angle_p15/processed_28x28/3/3_3_01_3ef7df64_r04c03__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/3/3_3_01_3ef7df64_r04c03__rotation_angle_p15.png
3_3_01_3ef7df64_r04c04__rotation_angle_p15,3_3_01_3ef7df64_r04c04,3,7,0.5467107479649911,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c04.png,./data/robustness/rotation/angle_p15/processed_28x28/3/3_3_01_3ef7df64_r04c04__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/3/3_3_01_3ef7df64_r04c04__rotation_angle_p15.png
3_3_02_0ace0337_r04c04__rotation_angle_p15,3_3_02_0ace0337_r04c04,3,9,0.3105137546394244,./data/preprocessed/dataset/processed_28x28/3/3_3_02_0ace0337_r04c04.png,./data/robustness/rotation/angle_p15/processed_28x28/3/3_3_02_0ace0337_r04c04__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/3/3_3_02_0ace0337_r04c04__rotation_angle_p15.png
4_4_01_ecfe458e_r01c03__rotation_angle_p15,4_4_01_ecfe458e_r01c03,4,8,0.9614886143903932,./data/preprocessed/dataset/processed_28x28/4/4_4_01_ecfe458e_r01c03.png,./data/robustness/rotation/angle_p15/processed_28x28/4/4_4_01_ecfe458e_r01c03__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/4/4_4_01_ecfe458e_r01c03__rotation_angle_p15.png
4_4_02_b6e2cbed_r04c03__rotation_angle_p15,4_4_02_b6e2cbed_r04c03,4,9,0.9133616824137694,./data/preprocessed/dataset/processed_28x28/4/4_4_02_b6e2cbed_r04c03.png,./data/robustness/rotation/angle_p15/processed_28x28/4/4_4_02_b6e2cbed_r04c03__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/4/4_4_02_b6e2cbed_r04c03__rotation_angle_p15.png
5_5_02_f20420ee_r02c04__rotation_angle_p15,5_5_02_f20420ee_r02c04,5,1,0.8730171356693552,./data/preprocessed/dataset/processed_28x28/5/5_5_02_f20420ee_r02c04.png,./data/robustness/rotation/angle_p15/processed_28x28/5/5_5_02_f20420ee_r02c04__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/5/5_5_02_f20420ee_r02c04__rotation_angle_p15.png
9_9_01_852a4a6b_r02c03__rotation_angle_p15,9_9_01_852a4a6b_r02c03,9,8,0.9977181891847894,./data/preprocessed/dataset/processed_28x28/9/9_9_01_852a4a6b_r02c03.png,./data/robustness/rotation/angle_p15/processed_28x28/9/9_9_01_852a4a6b_r02c03__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/9/9_9_01_852a4a6b_r02c03__rotation_angle_p15.png
9_9_01_852a4a6b_r03c01__rotation_angle_p15,9_9_01_852a4a6b_r03c01,9,4,0.9690487230652094,./data/preprocessed/dataset/processed_28x28/9/9_9_01_852a4a6b_r03c01.png,./data/robustness/rotation/angle_p15/processed_28x28/9/9_9_01_852a4a6b_r03c01__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/9/9_9_01_852a4a6b_r03c01__rotation_angle_p15.png
9_9_01_852a4a6b_r03c04__rotation_angle_p15,9_9_01_852a4a6b_r03c04,9,4,0.786947947820309,./data/preprocessed/dataset/processed_28x28/9/9_9_01_852a4a6b_r03c04.png,./data/robustness/rotation/angle_p15/processed_28x28/9/9_9_01_852a4a6b_r03c04__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/9/9_9_01_852a4a6b_r03c04__rotation_angle_p15.png
9_9_01_852a4a6b_r04c02__rotation_angle_p15,9_9_01_852a4a6b_r04c02,9,4,0.7033675756707906,./data/preprocessed/dataset/processed_28x28/9/9_9_01_852a4a6b_r04c02.png,./data/robustness/rotation/angle_p15/processed_28x28/9/9_9_01_852a4a6b_r04c02__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/9/9_9_01_852a4a6b_r04c02__rotation_angle_p15.png
9_9_02_2f49434b_r01c03__rotation_angle_p15,9_9_02_2f49434b_r01c03,9,8,0.9966555165711293,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r01c03.png,./data/robustness/rotation/angle_p15/processed_28x28/9/9_9_02_2f49434b_r01c03__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/9/9_9_02_2f49434b_r01c03__rotation_angle_p15.png
9_9_02_2f49434b_r02c04__rotation_angle_p15,9_9_02_2f49434b_r02c04,9,8,0.5594238797381765,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r02c04.png,./data/robustness/rotation/angle_p15/processed_28x28/9/9_9_02_2f49434b_r02c04__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/9/9_9_02_2f49434b_r02c04__rotation_angle_p15.png
9_9_02_2f49434b_r03c01__rotation_angle_p15,9_9_02_2f49434b_r03c01,9,4,0.9988091090021564,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r03c01.png,./data/robustness/rotation/angle_p15/processed_28x28/9/9_9_02_2f49434b_r03c01__rotation_angle_p15.png,./data/robustness/rotation/angle_p15/input_32x32/9/9_9_02_2f49434b_r03c01__rotation_angle_p15.png
